Symbol,Company Name,Index Weight
XOM,Exxon Mobil Corp,0.2233
CVX,Chevron Corp,0.1657
SLB,Schlumberger Ltd,0.0638
EOG,EOG Resources,0.0474
COP,ConocoPhillips,0.0468
OXY,Occidental Petroleum,0.0438
PSX,Phillips 66,0.0369
VLO,Valero Energy Corp,0.0359
HAL,Halliburton Co,0.0266
MPC,Marathon Petroleum Corp.,0.0264
APC,Anadarko Petroleum Corp,0.0254
KMI,Kinder Morgan Inc,0.0242
PXD,Pioneer Natural Resources,0.0227
OKE,ONEOK Inc,0.0201
WMB,The Williams Companies Inc,0.0186
CXO,Concho Resources Inc,0.0183
DVN,Devon Energy Corp,0.0163
ANDV,Andeavor,0.0148
NOV,National Oilwell Varco Inc,0.013
MRO,Marathon Oil Corp,0.0127
HES,Hess Corp,0.0126
APA,Apache Corp,0.0125
NBL,Noble Energy Inc,0.0115
BHGE,"Baker Hughes, a GE company",0.0102
FTI,TechnipFMC Ltd,0.0098
EQT,EQT Corporation,0.0092
HFC,HollyFrontier Corporation,0.0086
COG,Cabot Oil & Gas A,0.0077
XEC,Cimarex Energy Co,0.0065
HP,Helmerich & Payne Inc,0.0048
NFX,Newfield Exploration Co,0.004
