Symbol,Company Name,Index Weight
JPM,JP Morgan Chase & Co,0.1182
BRK.b,Berkshire Hathaway B,0.1143
BAC,Bank of America Corp,0.0881
WFC,Wells Fargo & Co,0.0765
C,Citigroup Inc,0.0547
USB,US Bancorp,0.0245
GS,Goldman Sachs Group Inc,0.0244
AXP,American Express Co,0.0213
MS,Morgan Stanley,0.0202
PNC,PNC Finl Services Group,0.0202
CB,Chubb Limited,0.0192
SCHW,Schwab Charles Corp,0.0179
BLK,BlackRock Inc,0.0176
CME,CME Group Inc A,0.0163
BK,The Bank of New York Mellon Corp,0.0158
SPGI,S&P Global Inc,0.0148
AIG,American Intl Group Inc,0.0143
COF,Capital One Financial,0.0139
MET,Metlife Inc,0.0137
ICE,Intercontinental Exchange Inc,0.0125
MMC,Marsh & McLennan Companies,0.0125
PRU,Prudential Financial Inc,0.0124
BBT,BB&T Corp,0.0119
AFL,AFLAC Inc,0.0107
PGR,Progressive Corp,0.0106
AON,Aon plc,0.0104
TRV,Travelers Cos Inc,0.0104
ALL,Allstate Corp,0.0102
STI,SunTrust Banks Inc (GA),0.0099
STT,State Street Corp,0.0094
MCO,Moody's Corp,0.0086
TROW,T Rowe Price Group Inc,0.0084
DFS,Discover Financial Services,0.0076
MTB,M&T Bank Corp,0.0075
NTRS,Northern Trust Corp (IL),0.0069
KEY,KeyCorp,0.0067
RF,Regions Financial Corp,0.0064
SYF,Synchrony Financial,0.0063
AMP,Ameriprise Financial Inc,0.006
FITB,Fifth Third Bancorp (OH),0.006
WLTW,Willis Towers Watson PLC,0.0058
CFG,Citizens Financial Group Inc,0.0058
HIG,Hartford Finl Services Group,0.0056
HBAN,Huntington Bancshares (OH),0.0052
SIVB,SVB Financial Group,0.0051
CMA,Comerica Inc (MI),0.005
ETFC,E*TRADE Financial Corp,0.0047
PFG,Principal Financial Group,0.0044
MSCI,MSCI Inc,0.0044
LNC,Lincoln National Corp,0.0043
XL,XL Group Ltd,0.0043
L,Loews Corp,0.004
AJG,Gallagher Arthur J. & Co,0.0039
RJF,Raymond James Financial Inc,0.0035
CINF,Cincinnati Financial Corp,0.0033
NDAQ,Nasdaq Inc,0.0032
CBOE,"Cboe Global Markets, Inc",0.0032
BEN,Franklin Resources Inc,0.0031
IVZ,Invesco Ltd,0.0031
ZION,Zions Bancorp (UT),0.0031
TMK,Torchmark Corp,0.0027
RE,Everest Re Group Ltd,0.0027
UNM,Unum Group,0.0024
AMG,Affiliated Managers Grp,0.0024
JEF,Jefferies Financial Group Inc.,0.0022
PBCT,People's United Financial Inc,0.0019
AIZ,Assurant Inc,0.0017
BHF,Brighthouse Financial Inc,0.0016
