Symbol,Company Name,Index Weight
BA,Boeing Co,0.0819
MMM,3M Co,0.0528
UNP,Union Pacific Corp,0.0499
HON,Honeywell Intl Inc,0.0497
GE,General Electric Co,0.049
UTX,United Technologies Corp,0.0428
CAT,Caterpillar Inc,0.0355
UPS,United Parcel Service Inc B,0.0353
LMT,Lockheed Martin,0.0342
CSX,CSX Corporation,0.0268
FDX,FedEx Corp,0.0257
RTN,Raytheon Co,0.0241
GD,General Dynamics,0.023
NOC,Northrop Grumman Corp,0.0222
NSC,Norfolk Southern Corp,0.0208
DE,Deere & Co,0.02
EMR,Emerson Electric Co,0.0193
ITW,Illinois Tool Works Inc,0.0183
ETN,Eaton Corp plc,0.0153
WM,Waste Management Inc,0.0153
JCI,Johnson Controls International plc,0.0151
DAL,Delta Air Lines,0.015
LUV,Southwest Airlines Co,0.0131
ROP,"Roper Technologies, Inc",0.0131
FTV,Fortive Corp,0.0107
IR,Ingersoll-Rand Plc,0.0103
PH,Parker-Hannifin Corp,0.0098
COL,Rockwell Collins,0.0097
PCAR,PACCAR Inc,0.0097
ROK,Rockwell Automation Inc,0.0097
SWK,Stanley Black & Decker,0.0096
CMI,Cummins Inc,0.0094
HRS,Harris Corp,0.0083
UAL,United Continental Holding Inc,0.0082
INFO,IHS Markit Ltd,0.0081
CTAS,Cintas Corp,0.0077
TDG,TransDigm Group,0.0077
AME,AMETEK Inc,0.0076
VRSK,Verisk Analytics Inc,0.0076
GWW,Grainger W.W. Inc,0.0074
TXT,Textron Inc,0.0074
LLL,"L3 Technologies, Inc",0.0071
RSG,Republic Services Inc,0.007
FAST,Fastenal Co,0.0069
AAL,American Airlines Group Inc.,0.0069
EFX,Equifax Inc,0.0066
XYL,Xylem Inc,0.0059
CHRW,CH Robinson Worldwide Inc,0.0057
EXPD,Expeditors Intl of WA Inc,0.0057
DOV,Dover Corp,0.0055
MAS,Masco Corp,0.0053
URI,United Rentals Inc,0.0053
KSU,Kansas City Southern Inc,0.0051
CPRT,Copart Inc,0.005
HII,Huntington Ingalls Industries Inc.,0.0045
JBHT,Hunt J.B. Transport Services,0.0044
RHI,Robert Half Intl Inc,0.0041
SNA,Snap On Inc,0.0041
ARNC,Arconic Inc,0.0039
AOS,Smith A.O. Corp,0.0037
FBHS,Fortune Brands Home & Security Inc,0.0036
JEC,Jacobs Engineering Group Inc,0.0035
FLR,Fluor Corp,0.0034
ALLE,Allegion plc,0.0033
ALK,Alaska Air Group Inc,0.0033
NLSN,Nielsen Holdings plc,0.0032
PNR,Pentair PLC,0.0031
FLS,Flowserve Corp,0.0025
SRCL,Stericycle Inc,0.0023
PWR,Quanta Services Inc,0.0022
