Symbol,Company Name,Index Weight
AMZN,Amazon.com Inc,0.2413
HD,Home Depot Inc,0.0742
DIS,Walt Disney Co,0.0557
CMCSA,Comcast Corp A,0.0534
NFLX,NetFlix Inc,0.049
MCD,McDonald's Corp,0.0403
NKE,NIKE Inc B,0.0332
BKNG,Booking Holdings Inc,0.0321
LOW,Lowe's Cos Inc,0.0264
SBUX,Starbucks Corp,0.0237
TJX,TJX Cos Inc,0.0201
CHTR,Charter Communications Inc A,0.0185
FOXA,Twenty-First Century Fox Inc A,0.0157
GM,General Motors Company,0.0157
TGT,Target Corp,0.0143
F,Ford Motor Co,0.0129
MAR,Marriott Intl A,0.0125
ROST,Ross Stores Inc,0.0111
VFC,VF Corp,0.0099
YUM,Yum! Brands Inc,0.0087
APTV,Aptiv plc,0.0086
ORLY,O'Reilly Automotive,0.0084
DG,Dollar General Corp,0.0082
CCL,Carnival Corp,0.0079
HLT,Hilton Worldwide Holdings  Inc,0.0072
DLTR,Dollar Tree Inc,0.0071
FOX,Twenty-First Century Fox Inc B,0.0065
AZO,AutoZone Inc,0.0063
RCL,Royal Caribbean Cruises Ltd,0.0063
BBY,Best Buy Co Inc,0.0061
CBS,CBS Corp B,0.006
EXPE,"Expedia Group, Inc.",0.0052
OMC,Omnicom Group,0.005
DHI,Horton D.R. Inc,0.0049
GPC,Genuine Parts Co,0.0047
MGM,MGM Resorts International,0.0047
LEN,Lennar Corp A,0.0046
TIF,Tiffany & Co,0.0045
DRI,Darden Restaurants Inc,0.0044
KMX,Carmax Inc,0.0044
ULTA,"Ulta Beauty, Inc",0.0044
TPR,"Tapestry, Inc",0.0044
NWL,Newell Brands Inc,0.0042
WYNN,Wynn Resorts Ltd,0.0042
KSS,Kohl's Corp,0.004
MHK,Mohawk Industries Inc,0.0039
M,Macy's Inc,0.0039
PVH,PVH Corp,0.0038
CMG,Chipotle Mexican Grill Inc.,0.0037
HAS,Hasbro Inc,0.0037
AAP,Advance Auto Parts Inc,0.0035
VIAB,Viacom Inc B,0.0034
LKQ,LKQ Corp,0.0034
NCLH,Norwegian Cruise Line Holdings Ltd,0.0034
KORS,Michael Kors Holdings Ltd,0.0032
TSCO,Tractor Supply Co,0.0032
BWA,Borgwarner Inc,0.0029
WHR,Whirlpool Corp,0.0029
IPG,Interpublic Group Cos,0.0028
DISCK,"Discovery, Inc C",0.0028
LB,L Brands Inc,0.0026
DISH,DISH Network Corp A,0.0026
PHM,Pulte Group Inc,0.0025
GRMN,Garmin Ltd,0.0024
HOG,Harley-Davidson Inc,0.0024
RL,Ralph Lauren Corp A,0.0024
GPS,Gap Inc,0.0022
HBI,Hanesbrands Inc,0.0021
JWN,Nordstrom Inc,0.002
GT,Goodyear Tire & Rubber Co,0.0019
LEG,Leggett & Platt,0.0019
NWSA,News Corp A,0.0019
TRIP,TripAdvisor Inc. A,0.0019
MAT,Mattel Inc,0.0018
FL,Foot Locker Inc,0.0018
HRB,Block H & R Inc,0.0017
DISCA,"Discovery, Inc A",0.0014
UAA,Under Armour Inc A,0.0012
UA,Under Armour Inc-C,0.0011
NWS,News Corp B,0.0006
